ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"DLX AU Equity",AU000000DLX6,AUD,5.8,4.73662719477,1.224500
"EGP AU Equity",AU000000EGP0,AUD,3.79,3.09514087383,1.224500
"FMG AU Equity",AU000000FMG4,AUD,2.74,2.2376480196,1.224500
"MND AU Equity",AU000000MND5,AUD,9.39,7.66843609637,1.224500
"MQA AU Equity",AU000000MQA4,AUD,3.2,2.61331155574,1.224500
"ORA AU Equity",AU000000ORA8,AUD,1.95,1.59248672928,1.224500
"PMV AU Equity",AU000000PMV2,AUD,9.85,8.0440996325,1.224500
"REC AU Equity",AU000000REC5,AUD,7.19,5.8717844018,1.224500
"RRL AU Equity",AU000000RRL8,AUD,1.93,1.57615353205,1.224500
"SXL AU Equity",AU000000SXL4,AUD,1.13,0.92282564312,1.224500
"TFC AU Equity",AU000000TFC8,AUD,1.56,1.27398938342,1.224500
"TWE AU Equity",AU000000TWE9,AUD,4.77,3.89546753777,1.224500
"ALLL3 BZ Equity",BRALLLACNOR6,BRL,5.06,1.90397350993,2.657600
"ARTR3 BZ Equity",BRARTRACNOR3,BRL,12.4,4.66586393739,2.657600
"BBAS3 BZ Equity",BRBBASACNOR3,BRL,23.77,8.94416014449,2.657600
"BBSE3 BZ Equity",BRBBSEACNOR5,BRL,32.16,12.1011438892,2.657600
"BRML3 BZ Equity",BRBRMLACNOR9,BRL,16.43,6.18226971704,2.657600
"BRPR3 BZ Equity",BRBRPRACNOR9,BRL,10.25,3.85686333534,2.657600
"CCRO3 BZ Equity",BRCCROACNOR2,BRL,15.41,5.79846478025,2.657600
"CESP6 BZ Equity",BRCESPACNPB4,BRL,26.81,10.0880493679,2.657600
"CMIG4 BZ Equity",BRCMIGACNPR3,BRL,13.14,4.94431065623,2.657600
"CPFE3 BZ Equity",BRCPFEACNOR0,BRL,18.49,6.9574051776,2.657600
"CRUZ3 BZ Equity",BRCRUZACNOR0,BRL,19.32,7.26971703793,2.657600
"CSMG3 BZ Equity",BRCSMGACNOR5,BRL,25.18,9.47471402769,2.657600
