Locus US Core Index PR,LUCP,1/2/2015,998.59
Locus US Core Index TR,LUCT,1/2/2015,998.62
Locus Global Core Index PR,LGCP,1/2/2015,995.41
Locus Global Core Index TR,LGCT,1/2/2015,995.45
Locus US Mid Cap Index PR,LUMP,1/2/2015,996.90
Locus US Mid Cap Index TR,LUMT,1/2/2015,996.91
Locus US Large Cap Index PR,LULP,1/2/2015,999.17
Locus US Large Cap Index TR,LULT,1/2/2015,999.21
Locus Non-US Large Cap Index PR,LNULP,1/2/2015,990.09
Locus Non-US Large Cap Index TR,LNULT,1/2/2015,990.16
Locus Global Large cap Index PR,LGLP,1/2/2015,995.19
Locus Global Large cap Index TR,LGLT,1/2/2015,995.25
Locus US Financial Products & Services PR,LUFP,1/2/2015,999.12
Locus US Financial Products & Services TR,LUFT,1/2/2015,999.22
Locus US Energy Products & Services PR,LUEP,1/2/2015,1004.56
Locus US Energy Products & Services TR,LUET,1/2/2015,1004.59
Locus US Industrial Products & Services PR,LUIPSP,1/2/2015,999.50
Locus US Industrial Products & Services TR,LUIPST,1/2/2015,999.51
Locus US Information Tools PR,LUITP,1/2/2015,998.00
Locus US Information Tools TR,LUITT,1/2/2015,998.09
Locus US Information Product and services Index PR,LUISP,1/2/2015,996.14
Locus US Information Product and services Index TR,LUIST,1/2/2015,996.14
Locus US Consumer Products & Services PR,LUCSP,1/2/2015,993.41
Locus US Consumer Products & Services TR,LUCST,1/2/2015,993.41
Locus US Food Products & Services PR,LUFSP,1/2/2015,996.15
Locus US Food Products & Services TR,LUFST,1/2/2015,996.15
Locus US Healthcare Products & Services PR,LUHP,1/2/2015,1001.81
Locus US Healthcare Products & Services TR,LUHT,1/2/2015,1001.81
Locus Global Financial Products & Services PR,LGFSP,1/2/2015,996.60
Locus Global Financial Products & Services TR,LGFST,1/2/2015,996.69
Locus Global Energy Products & Services PR,LGESP,1/2/2015,998.50
Locus Global Energy Products & Services TR,LGEST,1/2/2015,998.56
Locus Global Industrial Products & Services PR,LGISP,1/2/2015,995.74
Locus Global Industrial Products & Services TR,LGIST,1/2/2015,995.75
Locus Global Information Tools PR,LGITP,1/2/2015,996.46
Locus Global Information Tools TR,LGITT,1/2/2015,996.53
Locus Global Information Products & Services PR,LGIPP,1/2/2015,993.89
Locus Global Information Products & Services TR,LGIPT,1/2/2015,993.95
Locus Global Consumer Products & Services PR,LGCSP,1/2/2015,991.02
Locus Global Consumer Products & Services TR,LGCST,1/2/2015,991.02
Locus Global Food Products & Services PR,LGFPP,1/2/2015,991.58
Locus Global Food Products & Services TR,LGFPT,1/2/2015,991.67
Locus Global Healthcare Products & Services PR,LGHSP,1/2/2015,999.45
Locus Global Healthcare Products & Services TR,LGHST,1/2/2015,999.45
Syntax Cap Weighted US Mid Cap Index PR,SWUMP,1/2/2015,998.89
Syntax Cap Weighted US Mid Cap Index TR,SWUMT,1/2/2015,998.91
Syntax Cap Weighted US Large Cap Index PR,SWULP,1/2/2015,999.64
Syntax Cap Weighted US Large Cap Index TR,SWULT,1/2/2015,999.77
Syntax Cap Weighted US Core Index PR,SWUCP,1/2/2015,999.58
Syntax Cap Weighted US Core Index TR,SWUCT,1/2/2015,999.70
Syntax Cap Weighted US Financial Products & Services PR,SWUFP,1/2/2015,1000.09
Syntax Cap Weighted US Financial Products & Services TR,SWUFT,1/2/2015,1000.56
Syntax Cap Weighted US Energy Products & Services PR,SWUEP,1/2/2015,1004.66
Syntax Cap Weighted US Energy Products & Services TR,SWUET,1/2/2015,1004.67
Syntax Cap Weighted US Industrial Products & Services PR,SWUIP,1/2/2015,999.02
Syntax Cap Weighted US Industrial Products & Services TR,SWUIT,1/2/2015,999.03
Syntax Cap Weighted US Information Tools Products & Services PR,SWUITP,1/2/2015,996.85
Syntax Cap Weighted US Information Tools Products & Services TR,SWUITT,1/2/2015,997.24
Syntax Cap Weighted US Information Products & Services PR,SWUISP,1/2/2015,998.95
Syntax Cap Weighted US Information Products & Services TR,SWUIST,1/2/2015,998.95
Syntax Cap Weighted US Consumer Products & Services PR,SWUCSP,1/2/2015,993.22
Syntax Cap Weighted US Consumer Products & Services TR,SWUCST,1/2/2015,993.22
Syntax Cap Weighted US Food Products & Services PR,SWUFSP,1/2/2015,997.28
Syntax Cap Weighted US Food Products & Services TR,SWUFST,1/2/2015,997.28
Syntax Cap Weighted US Healthcare Products & Services PR,SWUHSP,1/2/2015,1003.48
Syntax Cap Weighted US Healthcare Products & Services TR,SWUHST,1/2/2015,1003.48
Syntax US Mid Cap Index PR,SUMP,1/2/2015,996.90
Syntax US Mid Cap Index TR,SUMT,1/2/2015,996.91
Syntax US Large Cap PR,SULP,1/2/2015,999.17
Syntax US Large Cap TR,SULT,1/2/2015,999.21
Syntax US Core Index PR,SUCP,1/2/2015,998.59
Syntax US Core Index TR,SUCT,1/2/2015,998.62
Syntax US Financial Products & Services Index PR,SUFSP,1/2/2015,999.12
Syntax US Financial Products & Services Index TR,SUFST,1/2/2015,999.22
Syntax US Energy Products & Services Index PR,SUESP,1/2/2015,1004.56
Syntax US Energy Products & Services Index TR,SUEST,1/2/2015,1004.59
Syntax US Industrial Products & Services Index PR,SUISP,1/2/2015,999.50
Syntax US Industrial Products & Services Index TR,SUIST,1/2/2015,999.51
Syntax US Information Tools Index PR,SUITP,1/2/2015,998.00
Syntax US Information Tools Index TR,SUITT,1/2/2015,998.09
Syntax US Information Product and services Index PR,SUIPP,1/2/2015,996.14
Syntax US Information Product and services Index TR,SUIPT,1/2/2015,996.14
Syntax US Consumer Products & Services Index PR,SUCSP,1/2/2015,993.41
Syntax US Consumer Products & Services Index TR,SUCST,1/2/2015,993.41
Syntax US Food Products & Services Index PR,SUFPP,1/2/2015,996.15
Syntax US Food Products & Services Index TR,SUFPT,1/2/2015,996.15
Syntax US Healthcare Products & Services Index PR,SUHPP,1/2/2015,1001.81
Syntax US Healthcare Products & Services Index TR,SUHPT,1/2/2015,1001.81
