Date,2014-12-17,
INDEX VALUE,8099.11,
EFFECTIVE DATE,TICKER,NAME,ISIN,SEDOL,CUSIP,COUNTRY,INDEX SHARES,PRICE,CURRENCY,CURRENCY FACTOR,
20141217,ABBV US Equity,Abbvie,US00287Y1091,B92SR70,00287Y109,United States,235.3579025685000,69.14,USD,1.000000,
20141217,ADT US Equity,ADT Corp/The,US00101J1060,B7XWRM2,00101J106,United States,385.9417118737100,32.70,USD,1.000000,
20141217,ALEX US Equity,Alexander & Baldwin Inc,US0144911049,B827VB2,14491104,United States,374.5064018922700,36.50,USD,1.000000,
20141217,AAMC US Equity,Altisource Asset Management Corp,VI02153X1080,B7GYFQ5,02153X108,United States,19.5850191520400,451.00,USD,1.000000,
20141217,RESI US Equity,Altisource Residential Corp,US02153W1009,B95B088,02153W100,United States,574.7687725883400,20.66,USD,1.000000,
20141217,AMCX US Equity,AMC Networks Inc,US00164V1035,B4MG4Z6,00164V103,United States,234.0263732037200,60.93,USD,1.000000,
20141217,AOL US Equity,AOL Inc,US00184X1054,B3XD9K9,00184X105,United States,317.6811344885500,45.29,USD,1.000000,
20141217,AXLL US Equity,Axiall Corp.,US05463D1000,B9F5TH2,05463D100,United States,371.4492067747800,43.79,USD,1.000000,
20141217,BWC US Equity,Babcock & Wilcox Co/The,US05615F1021,B432VZ2,05615F102,United States,489.8011607094800,29.18,USD,1.000000,
20141217,CVEO US Equity,Civeo Corp,US1787871078,BMHTQB6,178787107,United States,546.6863575880300,8.99,USD,1.000000,
20141217,CNSI US Equity,Comverse Inc,US20585P1057,B8LS5J2,20585P105,United States,588.1412472629500,19.24,USD,1.000000,
20141217,CLGX US Equity,CoreLogic Inc/United States,US21871D1037,B5541Y2,21871D103,United States,501.6816739791700,31.77,USD,1.000000,
20141217,CST US Equity,CST Brands,US12646R1059,B9GD0X8,12646R105,United States,382.3741834446200,42.09,USD,1.000000,
20141217,EGL US Equity,Engility Holdings Inc,US29285W1045,B83M6H7,29285W104,United States,423.2793286503300,42.00,USD,1.000000,
20141217,XLS US Equity,Exelis Inc,US30162A1088,B713S57,30162A108,United States,820.340979804,17.27,USD,1.000000,
20141217,FRGI US Equity,Fiesta Restaurant Group,US31660B1017,B7V5P52,31660B101,United States,280.4182076617300,62.03,USD,1.000000,
20141217,FBHS US Equity,Fortune Brands Home & Security Inc,US34964C1062,B3MC7D6,34964C106,United States,333.0265515729000,45.85,USD,1.000000,
20141217,FTD US Equity,FTD Cos Inc,US30281V1089,BFLR7Y7,30281V108,United States,399.2617241583200,34.91,USD,1.000000,
20141217,GLPI US Equity,Gaming and Leisure Properties Inc,US36467J1088,BFPK4S5,36467J108,United States,440.4299947773414,29.73,USD,1.000000,
20141217,HHC US Equity,Howard Hughes Corp/The,US44267D1072,B5VR4H9,44267D107,United States,91.6650439764500,134.82,USD,1.000000,
20141217,HII US Equity,Huntington Ingalls Industries Inc,US4464131063,B40SSC9,446413106,United States,131.1312041207800,107.71,USD,1.000000,
20141217,HY US Equity,Hyster-Yale Materials Handling Inc,US4491721050,B7LG306,449172105,United States,187.8975684648700,76.60,USD,1.000000,
20141217,KN US Equity,Knowles Corp,US49926D1090,BJTD9L6,49926D109,United States,507.8407123873900,20.39,USD,1.000000,
20141217,KRFT US Equity,Kraft Foods Group Inc,US50076Q1067,B8P0S06,50076Q106,United States,242.8528437817700,60.30,USD,1.000000,
20141217,LE US Equity,Lands' End Inc,US51509F1057,BKWQKM7,51509F105,United States,318.7195505247000,50.66,USD,1.000000,
20141217,LTRPA US Equity,Liberty TripAdvisor Holdings,US5314651028,BQ5BPM6,4642874402,United States,406.1516914303200,25.90,USD,1.000000,
20141217,LVNTA US Equity,Liberty Ventures,US53071M8800,B8FK6R9,53071M880,United States,372.9715395894300,37.65,USD,1.000000,
20141217,MSG US Equity,Madison Square Garden Co/The,US55826P1003,B60SJT7,55826P100,United States,205.2745616386900,72.99,USD,1.000000,
20141217,MPC US Equity,Marathon Petroleum Corp,US56585A1025,B3K3L40,56585A102,United States,161.9691308611000,88.76,USD,1.000000,
