Date,2014-12-17,
INDEX VALUE,2328.73,
EFFECTIVE DATE,TICKER,NAME,ISIN,SEDOL,CUSIP,COUNTRY,INDEX SHARES,PRICE,CURRENCY,CURRENCY FACTOR,
20141217,XEL US Equity,Xcel Energy Inc,US98389B1008,2614807,98389B100,United States,132.78989474361400000,35.02,USD,1.000000,
20141217,GAS US Equity,AGL Resources Inc,US0012041069,2060961,1204106,United States,78.49496976319660000,53.58,USD,1.000000,
20141217,DUK US Equity,Duke Energy Corp,US26441C2044,B7VD3F2,26441C204,United States,58.33947658253330000,82.18,USD,1.000000,
20141217,AWK US Equity,American Water Works Co Inc,US0304201033,B2R3PV1,030420103,United States,86.80505545315850000,53.26,USD,1.000000,
20141217,WEC US Equity,Wisconsin Energy Corp,US9766571064,2973995,976657106,United States,91.88463514977170000,50.95,USD,1.000000,
20141217,LNT US Equity,Alliant Energy Corp,US0188021085,2973821,018802108,United States,70.83995103132820000,64.63,USD,1.000000,
20141217,UTX US Equity,United Technologies Corp,US9130171096,2915500,913017109,United States,37.12576063245050000,114.99,USD,1.000000,
20141217,UNP US Equity,Union Pacific Corp,US9078181081,2914734,907818108,United States,42.87067919188930000,116.06,USD,1.000000,
20141217,SRCL US Equity,Stericycle Inc,US8589121081,2860826,858912108,United States,35.79493911730190000,130.98,USD,1.000000,
20141217,PSA US Equity,Public Storage,US74460D1090,2852533,74460D109,United States,24.94020175494760000,185.91,USD,1.000000,
20141217,T US Equity,AT&T Inc,US00206R1023,2831811,00206R102,United States,123.02915576140200000,32.89,USD,1.000000,
20141217,SIAL US Equity,Sigma-Aldrich Corp,US8265521018,2807566,826552101,United States,41.93349333377080000,136.27,USD,1.000000,
20141217,TRV US Equity,Travelers Cos Inc/The,US89417E1091,2769503,89417E109,United States,45.5632749493660,105.02,USD,1.000000,
20141217,USB US Equity,US Bancorp/MN,US9029733048,2736035,902973304,United States,98.42533574272760000,45.21,USD,1.000000,
20141217,COST US Equity,Costco Wholesale Corp,US22160K1051,2701271,22160K105,United States,37.01570080058720000,143.04,USD,1.000000,
