Date,2014-12-17,
INDEX VALUE,7090.08,
EFFECTIVE DATE,TICKER,NAME,ISIN,SEDOL,CUSIP,COUNTRY,INDEX SHARES,PRICE,CURRENCY,CURRENCY FACTOR,
20141217,SUNP IN Equity,Sun Pharmaceutical Industries Ltd.,INE044A01036,6582483,,India,824.61048888913300,839.45,INR,61.887500,
20141217,KMB IN Equity,Kotak Mahindra Bank Ltd.,INE237A01028,6135661,,India,607.18521104396600,1231.95,INR,61.887500,
20141217,ADE IN Equity,Adani Enterprises Ltd.,INE423A01024,B01VRK0,,India,1283.99447545160000,442.55,INR,61.887500,
20141217,ADSEZ IN Equity,Adani Ports & Special Economic Zone Ltd.,INE742F01042,B28XXH2,,India,2526.74031898892000,269.20,INR,61.887500,
20141217,DIVI IN Equity,Divi's Laboratories Ltd.,INE361B01024,6602518,,India,349.43856919073200,1668.80,INR,61.887500,
20141217,YES IN Equity,YES BANK Ltd.,INE528G01019,B06LL92,,India,1157.90216650091000,716.80,INR,61.887500,
20141217,ARBP IN Equity,Aurobindo Pharma Ltd.,INE406A01037,6702634,,India,928.05705266663200,1129.65,INR,61.887500,
20141217,HAVL IN Equity,Havells India Ltd.,INE176B01034,BQGZWP9,,India,2560.55490454288000,333.25,INR,61.887500,
20141217,JUST IN Equity,Just Dial Ltd.,INE599M01018,B8W3TV6,,India,304.08806379447000,1432.20,INR,61.887500,
20141217,HMN IN Equity,Emami Ltd.,INE548C01032,6741035,,India,1098.98804532140000,729.25,INR,61.887500,
20141217,PIEL IN Equity,Piramal Enterprises Ltd.,INE140A01024,B058J56,,India,936.48672243545200,808.40,INR,61.887500,
20141217,GMRI IN Equity,GMR Infrastructure Ltd.,INE776C01039,B192HJ1,,India,21588.19231408660000,19.25,INR,61.887500,
20141217,BIOS IN Equity,Biocon Ltd.,INE376G01013,6741251,,India,1124.32191212714000,455.05,INR,61.887500,
20141217,UPLL IN Equity,UPL Ltd.,INE628A01036,B0L0W35,,India,2594.12479410375000,318.05,INR,61.887500,
20141217,ESOIL IN Equity,Essar Oil Ltd.,INE011A01019,6152217,,India,9263.30636879892000,113.65,INR,61.887500,
20141217,PAG IN Equity,Page Industries Ltd.,INE761H01022,B1VJS64,,India,73.27544839919930,10743.65,INR,61.887500,
20141217,INFOE IN Equity,Info Edge India Ltd.,INE663F01024,B1685L0,,India,765.26136436635600,914.20,INR,61.887500,
20141217,MAX IN Equity,Max India Ltd.,INE180A01020,B1TJG95,,India,2304.71194074457000,388.30,INR,61.887500,
20141217,AIAE IN Equity,AIA Engineering Ltd.,INE212H01026,B0QDXM5,,India,854.40076428080200,1053.20,INR,61.887500,
20141217,VKI IN Equity,Vakrangee Ltd.,INE051B01021,B7T1QT3,,India,4741.08559892941000,142.85,INR,61.887500,
20141217,KSCL IN Equity,Kaveri Seed Co. Ltd.,INE455I01029,BJF6Z88,,India,742.20084080074700,782.90,INR,61.887500,
