Date,2014-12-17,
INDEX VALUE,1987.40,
EFFECTIVE DATE,TICKER,NAME,ISIN,SEDOL,CUSIP,COUNTRY,INDEX SHARES,PRICE,CURRENCY,CURRENCY FACTOR,
20141217,BRK/A US Equity,Berkshire Hathaway Inc,US0846701086,2093666,84670108,United States,0.01818340919565380,225334.00,USD,1.000000,
20141217,WFC US Equity,Wells Fargo & Co,US9497461015,2649100,949746101,United States,72.77605531106550000,54.83,USD,1.000000,
20141217,WMT US Equity,Wal-Mart Stores Inc,US9311421039,2936921,931142103,United States,49.58410973776430000,83.56,USD,1.000000,
20141217,JPM US Equity,JPMorgan Chase & Co,US46625H1005,2190385,46625H100,United States,62.97056829606740000,62.45,USD,1.000000,
20141217,VZ US Equity,Verizon Communications Inc,US92343V1044,2090571,92343V104,United States,75.14251877160190000,46.92,USD,1.000000,
20141217,T US Equity,AT&T Inc,US00206R1023,2831811,00206R102,United States,107.08238802062900000,32.89,USD,1.000000,
20141217,BAC US Equity,Bank of America Corp,US0605051046,2295677,60505104,United States,233.38353642494800000,17.56,USD,1.000000,
20141217,DIS US Equity,Walt Disney Co/The,US2546871060,2270726,254687106,United States,41.65109351581230000,92.94,USD,1.000000,
20141217,CMCSA US Equity,Comcast Corp,US20030N1019,2044545,20030N101,United States,68.41374790206880000,56.19,USD,1.000000,
20141217,HD US Equity,Home Depot Inc/The,US4370761029,2434209,437076102,United States,40.24078560895630000,99.64,USD,1.000000,
20141217,AMGN US Equity,Amgen Inc,US0311621009,2023607,31162100,United States,26.85894881045490000,169.39,USD,1.000000,
20141217,UNP US Equity,Union Pacific Corp,US9078181081,2914734,907818108,United States,35.56189118648440000,116.06,USD,1.000000,
20141217,AXP US Equity,American Express Co,US0258161092,2026082,25816109,United States,41.80458163262100000,93.36,USD,1.000000,
20141217,CVS US Equity,CVS Health Corp,US1266501006,2577609,126650100,United States,47.11894632097180000,91.25,USD,1.000000,
20141217,UPS US Equity,United Parcel Service Inc,US9113121068,2517382,911312106,United States,38.46296399056000000,110.03,USD,1.000000,
20141217,MO US Equity,Altria Group Inc,US02209S1033,2692632,02209S103,United States,87.94141980892800000,50.70,USD,1.000000,
20141217,UNH US Equity,UnitedHealth Group Inc,US91324P1021,2917766,91324P102,United States,43.37240068236810000,101.02,USD,1.000000,
20141217,BIIB US Equity,Biogen Idec Inc,US09062X1037,2455965,09062X103,United States,10.91301389109490000,347.61,USD,1.000000,
20141217,OXY US Equity,Occidental Petroleum Corp,US6745991058,2655408,674599105,United States,37.8771189338729,77.45,USD,1.000000,
20141217,AIG US Equity,American International Group Inc,US0268747849,2027342,26874784,United States,66.92968727592670000,55.59,USD,1.000000,
20141217,EPD US Equity,Enterprise Products Partners LP,US2937921078,2285388,293792107,United States,92.13882070394310000,35.60,USD,1.000000,
20141217,USB US Equity,US Bancorp/MN,US9029733048,2736035,902973304,United States,88.54305310315060000,45.21,USD,1.000000,
20141217,MS US Equity,Morgan Stanley,US6174464486,2262314,617446448,United States,109.11105465465500000,38.10,USD,1.000000,
20141217,TWX US Equity,Time Warner Inc,US8873173038,B63QTN2,887317303,United States,48.59925074907450000,83.92,USD,1.000000,
