Date,2014-12-17,
INDEX VALUE,2219.36,
EFFECTIVE DATE,TICKER,NAME,ISIN,SEDOL,CUSIP,COUNTRY,INDEX SHARES,PRICE,CURRENCY,CURRENCY FACTOR,
20141217,8958 JP Equity,Global One Real Estate Investment Corp,JP3044520009,6693608,,Japan,1.5993698,421500.00,JPY,119.600000,
20141217,8966 JP Equity,Heiwa Real Estate REIT Inc,JP3046220004,B064LV3,,Japan,5.4787375701417,92200.00,JPY,119.600000,
20141217,8968 JP Equity,Fukuoka REIT Corp,JP3046240002,B0B8154,,Japan,2.677660713,217200.00,JPY,119.600000,
20141217,8973 JP Equity,Sekisui House SI Residential Investment Corp,JP3046280008,B0CGYJ2,,Japan,4.682620922,130400.00,JPY,119.600000,
20141217,8977 JP Equity,Hankyu Reit Inc,JP3046320002,B0LLJ37,,Japan,4.3018940999581,147600.00,JPY,119.600000,
20141217,8985 JP Equity,Japan Hotel REIT Investment Corp,JP3046400002,B1530B1,,Japan,8.790241406,78900.00,JPY,119.600000,
20141217,8986 JP Equity,Japan Rental Housing Investments Inc,JP3046410001,B15T1S3,,Japan,7.024494317,87700.00,JPY,119.600000,
20141217,8987 JP Equity,Japan Excellent Inc,JP3046420000,B15T1R2,,Japan,3.480831357,161800.00,JPY,119.600000,
20141217,3249 JP Equity,Industrial & Infrastructure Fund Investment Corp,JP3046500009,B24HH65,,Japan,0.516560003,1094000.00,JPY,119.600000,
20141217,3263 JP Equity,Daiwa House REIT Investment Corp,JP3046770008,B39J7D0,,Japan,1.064043993,552000.00,JPY,119.600000,
20141217,3278 JP Equity,Kenedix Residential Investment Corp,JP3047480003,B76BZX3,,Japan,2.042170749,336500.00,JPY,119.600000,
20141217,3281 JP Equity,GLP J-Reit,JP3047510007,B8RBZV7,,Japan,4.204404429,135500.00,JPY,119.600000,
20141217,4985 JP Equity,Earth Chemical Co Ltd,JP3100190002,B0NHMM3,,Japan,120.1332985,4175.00,JPY,119.600000,
20141217,2131 JP Equity,Accordia Golf Co Ltd,JP3108450002,B1FQWP8,,Japan,350.054824,1045.00,JPY,119.600000,
20141217,9934 JP Equity,Inaba Denki Sangyo Co Ltd,JP3146200005,6459219,,Japan,139.0486669,3945.00,JPY,119.600000,
20141217,4523 JP Equity,Eisai Co Ltd,JP3160400002,6307200,,Japan,112.1386558,4728.00,JPY,119.600000,
20141217,7860 JP Equity,Avex Group Holdings Inc,JP3160950006,6129073,,Japan,266.3248115,1761.00,JPY,119.600000,
20141217,2730 JP Equity,EDION Corp,JP3164470001,6512714,,Japan,675.7143156,847.00,JPY,119.600000,
20141217,9437 JP Equity,NTT DOCOMO Inc,JP3165650007,6129277,,Japan,274.8453607,1886.00,JPY,119.600000,
20141217,9832 JP Equity,Autobacs Seven Co Ltd,JP3172500005,6068422,,Japan,280.4097012,1708.00,JPY,119.600000,
20141217,7751 JP Equity,Canon Inc,JP3242800005,6172323,,Japan,142.1480434,3896.00,JPY,119.600000,
20141217,7739 JP Equity,Canon Electronics Inc,JP3243200007,6172390,,Japan,245.5555541,2006.00,JPY,119.600000,
20141217,3405 JP Equity,Kuraray Co Ltd,JP3269600007,6497662,,Japan,369.9008258,1504.00,JPY,119.600000,
20141217,3635 JP Equity,Koei Tecmo Holdings Co Ltd,JP3283460008,B60DR09,,Japan,346.5383904,1753.00,JPY,119.600000,
20141217,6417 JP Equity,Sankyo Co Ltd,JP3326410002,6775432,,Japan,122.5429285,4015.00,JPY,119.600000,
20141217,5002 JP Equity,Showa Shell Sekiyu KK,JP3366800005,6805544,,Japan,407.0546362,1012.00,JPY,119.600000,
20141217,5020 JP Equity,JX Holdings Inc,JP3386450005,B627LW9,,Japan,877.7678842,446.40,JPY,119.600000,
20141217,9069 JP Equity,Senko Co Ltd,JP3423800006,6795203,,Japan,898.6720334,571.00,JPY,119.600000,
20141217,5012 JP Equity,TonenGeneral Sekiyu KK,JP3428600005,6366007,,Japan,487.0268925,1049.00,JPY,119.600000,
20141217,4626 JP Equity,Taiyo Holdings Co Ltd,JP3449100001,6871783,,Japan,151.1258312,4255.00,JPY,119.600000,
20141217,4502 JP Equity,Takeda Pharmaceutical Co Ltd,JP3463000004,6870445,,Japan,101.5666801,5100.00,JPY,119.600000,
20141217,7262 JP Equity,Daihatsu Motor Co Ltd,JP3496600002,6250304,,Japan,263.2462783,1686.00,JPY,119.600000,
20141217,8185 JP Equity,Chiyoda Co Ltd,JP3528400009,6191801,,Japan,209.7427706,2255.00,JPY,119.600000,
20141217,4540 JP Equity,Tsumura & Co,JP3535800001,6906919,,Japan,198.5804296,2773.00,JPY,119.600000,
20141217,2602 JP Equity,Nisshin Oillio Group Ltd/The,JP3677200002,6641049,,Japan,1279.922442,409.00,JPY,119.600000,
20141217,9432 JP Equity,Nippon Telegraph & Telephone Corp,JP3735400008,6641373,,Japan,75.14073921,6363.00,JPY,119.600000,
20141217,7518 JP Equity,NET One Systems Co Ltd,JP3758200004,6036548,,Japan,681.6278367,680.00,JPY,119.600000,
20141217,8283 JP Equity,Paltac Corp,JP3782200004,B61BG94,,Japan,333.8663009,1363.00,JPY,119.600000,
20141217,6581 JP Equity,Hitachi Koki Co Ltd,JP3787400005,6429182,433575107,Japan,538.1586319,1007.00,JPY,119.600000,
20141217,4921 JP Equity,Fancl Corp,JP3802670004,6131261,,Japan,389.8123218,1674.00,JPY,119.600000,
20141217,6412 JP Equity,Heiwa Corp,JP3834200002,6419581,,Japan,212.1303589,2326.00,JPY,119.600000,
20141217,1379 JP Equity,Hokuto Corp,JP3843250006,6432715,,Japan,234.4817259,1983.00,JPY,119.600000,
20141217,5463 JP Equity,Maruichi Steel Tube Ltd,JP3871200006,6569505,,Japan,173.7802424,2577.00,JPY,119.600000,
20141217,8031 JP Equity,Mitsui & Co Ltd,JP3893600001,6597302,,Japan,293.6607454,1616.50,JPY,119.600000,
20141217,3738 JP Equity,T-Gaia Corp,JP3893700009,6744670,,Japan,495.0140907,1197.00,JPY,119.600000,
20141217,8058 JP Equity,Mitsubishi Corp,JP3898400001,6596785,,Japan,226.2047763,2216.00,JPY,119.600000,
20141217,8270 JP Equity,UNY Group Holdings Co Ltd,JP3949600005,6918624,,Japan,750.0625001,598.00,JPY,119.600000,
20141217,4680 JP Equity,Round One Corp,JP3966800009,6248365,,Japan,737.2778044,727.00,JPY,119.600000,
20141217,2651 JP Equity,Lawson Inc,JP3982100004,6266914,,Japan,62.61818136,7310.00,JPY,119.600000,
20141217,3591 JP Equity,Wacoal Holdings Corp,JP3992400006,6932204,,Japan,425.9271591,1230.00,JPY,119.600000,
