Date,2014-12-18,
Name,Code,Market Value,Index value,
INDXX MIST Index,MISTP,,,
Indxx Emerging Market Index,IEMI,,,
Emerging Market Parent Index,IEMPI,,,
India Aggressive Index,IIAI,,,
India Defensive Index,IIDI,,,
Indxx SuperValue US Index,ISVUS,,,
EM State Owned Enterprises Index,IESEI,,,
Indxx SuperValue Global Index,ISVG,,,
Rapids,IDDRI,,,
Waterfall,IDDWI,,,
Meandering,IDDMI,,,
Glacier,IDDGI,,,
Melting Ice,IDDMII,,,
Indxx SuperDividendTM U.S. Low Volatility Index,IDIVT,,,
INDXX China Infrastructure Index,ICHXXTR,,,
Indxx Brazil Infrastructure Index,IBRXXTR,,,
Indxx Brazil Infrastructure Index,IBRXX,,,
INDXX Low Volatility Emerging Markets Dividend Index,IHILOTR,,,
INDXX Low Volatility Emerging Markets Dividend Index,IHILO,,,
GSPO Local Index,GSPOL,,,
ISPO Local,ISPOL,,,
US Inverse Index,IUSII,,,
US Pure Index,IUSPI,,,
US Inverse Consumer Index,IUICI,,,
NMMacro PERA Index,NMPI,,,
Super Dividend Japan Index,SDJI,,,
Indxx China Infrastructure Index,ICHXXP,,,
India Owner Operator Index,IOOI,,,
Indxx India Legacy Index,IILI,,,
Indxx India Neo-Middle Class Index,IINMI,,,
Dominant Sharpe Index,IDSI,,,
Low Volatility Rotator Index,ILVRI,,,
High Beta Rotator Index,IHBRI,,,
Indxx Guru China Index,IGCI,,,
