Index Name;Security Ticker;Company Ticker;ISIN;Action;Ex Date;Amount;Currency;Further Details;Factor;
Testing 4;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 4;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 4;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 4;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 1;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 1;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 1;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 1;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 3;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 3;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 3;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 3;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 6;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 6;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 6;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 6;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 8;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 8;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 8;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 8;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 10;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 10;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 10;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 10;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 12;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 12;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
