Date,2014-12-23,
Name,Code,Market Value,Index value,
Testing 4,ITI4TR,102749.082094,1038.28,
Testing 20,IT20I,101822.462803,1017.90,
Testing 1,IT1I,102302.627028,1003.93,
Testing 3,IT3I,104203.792178,1004.52,
Testing 6,IT6I,102577.232696,1004.13,
Testing 8,IT8I,103825.822825,1004.00,
Testing 10,IT10I,104754.822079,1004.92,
Testing 12,IT12I,102234.829473,1003.36,
Testing 14,IT14I,100256.386227,1002.14,
Testing 15,IT15I,103429.763672,1004.28,
Testing 18,IT18I,101490.276595,1003.63,
Testing 2,IT2I,103910.958754,1005.59,
Testing 7,IT7I,103088.380005,1004.16,
Testing 11,IT11I,102249.038705,1003.44,
Testing 16,IT16I,104041.827093,1003.95,
Testing 19,IT19I,100538.384798,1005.87,
Testing 5,IT5I,102579.447766,1004.11,
Testing 13,IT13I,102836.342072,1004.44,
Testing 9,IT9I,103198.380108,1003.51,
Testing 17,IT17I,103701.523928,1003.64,
