Date,2014-12-17,
INDEX VALUE,1000.00,
EFFECTIVE DATE,TICKER,NAME,ISIN,SEDOL,CUSIP,COUNTRY,INDEX SHARES,PRICE,CURRENCY,CURRENCY FACTOR,
20141217,WDF IM Equity,World Duty Free SpA,IT0004954662,BDSV5Z5,,Italy,110.9583333,7.11,EUR,0.799100,
20141217,GYCEUR EU Equity,Grand City Properties SA,LU0775917882,,,Luxembourg,66.575,12.19,EUR,0.799100,
20141217,384 HK Equity,China Gas Holdings Ltd.,BMG2109G1033,6460794,,Hong Kong,616.391097,12.58,HKD,7.753100,
20141217,861 HK Equity,Digital China Holdings Ltd.,BMG2759B1072,6351865,,Hong Kong,1223.059937,6.34,HKD,7.753100,
20141217,296 HK Equity,Emperor Entertainment Hotel Ltd.,BMG313891027,B05H3J5,,Hong Kong,3896.582915,1.99,HKD,7.753100,
20141217,535 HK Equity,Gemdale Properties & Investment Corp. Ltd.,BMG3911S1035,B9M3N77,,Hong Kong,18462.38095,0.42,HKD,7.753100,
20141217,1076 HK Equity,Imperial Pacific International Holdings Ltd.,BMG4769M1073,BNG6240,,Hong Kong,5068.104575,1.53,HKD,7.753100,
20141217,683 HK Equity,Kerry Properties Ltd.,BMG524401079,6486314,,Hong Kong,276.9357143,28.00,HKD,7.753100,
20141217,342 HK Equity,NewOcean Energy Holdings Ltd.,BMG6469T1009,B03S8Z1,,Hong Kong,2819.709091,2.75,HKD,7.753100,
20141217,555 HK Equity,REXLot Holdings Ltd.,BMG7541U1071,6727284,,Hong Kong,11929.53846,0.65,HKD,7.753100,
20141217,728 HK Equity,China Telecom Corp. Ltd.,CNE1000002V2,6559335,,China,1799.118329,4.31,HKD,7.753100,
20141217,54 HK Equity,Hopewell Holdings Ltd.,HK0000051067,6140290,,Hong Kong,282.4845173,27.45,HKD,7.753100,
20141217,81 HK Equity,China Overseas Grand Oceans Group Ltd.,HK0000065737,6803247,,Hong Kong,2029.895288,3.82,HKD,7.753100,
20141217,3360 HK Equity,Far East Horizon Ltd.,HK0000077468,B63DLB5,,Hong Kong,1068.071625,7.26,HKD,7.753100,
20141217,291 HK Equity,China Resources Enterprise Ltd.,HK0291001490,6972459,,Hong Kong,497.0641026,15.60,HKD,7.753100,
20141217,656 HK Equity,Fosun International Ltd.,HK0656038673,B1Z7FX0,,China,751.375969,10.32,HKD,7.753100,
20141217,883 HK Equity,CNOOC Ltd.,HK0883013259,B00G0S5,,China,791.244898,9.80,HKD,7.753100,
20141217,3377 HK Equity,Sino-Ocean Land Holdings Ltd.,HK3377040226,B24CVP7,,China,1850.644391,4.19,HKD,7.753100,
20141217,3383 HK Equity,Agile Property Holdings Ltd.,KYG011981035,B0PR2F4,,China,1782.574713,4.35,HKD,7.753100,
20141217,691 HK Equity,China Shanshui Cement Group Ltd.,KYG2116M1015,B39Z8W4,,China,2371.314985,3.27,HKD,7.753100,
20141217,884 HK Equity,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,B8Z00N3,,China,5002.709677,1.55,HKD,7.753100,
20141217,1728 HK Equity,China Zhengtong Auto Services Holdings Ltd.,KYG215A81084,B3YLTZ7,,China,2247.594203,3.45,HKD,7.753100,
20141217,3899 HK Equity,CIMC Enric Holdings Ltd.,KYG2198S1093,B0M6DX9,,Hong Kong,1332.33677,5.82,HKD,7.753100,
20141217,2688 HK Equity,ENN Energy Holdings Ltd.,KYG3066L1014,6333937,,China,177.4416476,43.70,HKD,7.753100,
20141217,175 HK Equity,Geely Automobile Holdings Ltd.,KYG3777B1032,6531827,,China,2485.320513,3.12,HKD,7.753100,
20141217,3336 HK Equity,Ju Teng International Holdings Ltd.,KYG521051063,B0N6Y91,,Hong Kong,1924.119107,4.03,HKD,7.753100,
20141217,1638 HK Equity,Kaisa Group Holdings Ltd.,KYG521321003,B58RBK4,,China,3657.641509,2.12,HKD,7.753100,
20141217,813 HK Equity,Shimao Property Holdings Ltd.,KYG810431042,B16YNS1,,Hong Kong,459.9169632,16.86,HKD,7.753100,
20141217,2678 HK Equity,Texhong Textile Group Ltd.,KYG876551170,BFSQNZ0,,Hong Kong,1409.854545,5.50,HKD,7.753100,
20141217,732 HK Equity,Truly International Holdings Ltd.,KYG910191363,6905745,,Hong Kong,2602.080537,2.98,HKD,7.753100,
20141217,3393 HK Equity,Wasion Group Holdings Ltd.,KYG9463P1081,B0T4J94,,Hong Kong,1027.046358,7.55,HKD,7.753100,
20141217,787 HK Equity,Global Brands Group Holding Ltd.,BMG393381014,BNN6B80,,Hong Kong,4757.177914,1.63,HKD,7.753100,
20141217,6199 HK Equity,China CNR Corp. Ltd.,CNE100001SC1,BMTSB50,,China,1012.29765,7.66,HKD,7.753100,
20141217,2202 HK Equity,China Vanke Co., Ltd.,CNE100001SR9,BN320P8,,China,491.3941698,15.78,HKD,7.753100,
20141217,MOL HB Equity,MOL Hungarian Oil & Gas Plc,HU0000068952,4742494,,Hungary,22.79105839,11310.00,HUF,249.570000,
20141217,MTELEKOM HB Equity,Magyar Telekom Telecommunications Plc,HU0000073507,4577469,,Hungary,754.652568,335.00,HUF,249.570000,
20141217,HDFC IN Equity,Housing Development Finance Corp. Ltd.,INE001A01036,6171900,,India,58.4602291,1086.85,INR,63.558800,
20141217,SIEM IN Equity,Siemens Ltd.,INE003A01024,B15T569,,India,75.91099164,837.00,INR,63.558800,
20141217,ASTRA IN Equity,Astral Poly Technik Ltd.,INE006I01046,BR2NB24,,India,162.2303077,391.65,INR,63.558800,
20141217,COXK IN Equity,Cox & Kings (India) Ltd.,INE008I01026,B42PBH4,,India,239.6285122,265.15,INR,63.558800,
20141217,INFO IN Equity,Infosys Ltd.,INE009A01021,6205122,,India,32.78508772,1938.00,INR,63.558800,
20141217,CDH IN Equity,Cadila Healthcare Ltd.,INE010B01019,6378905,,India,41.51828013,1530.35,INR,63.558800,
20141217,ESOIL IN Equity,Essar Oil Ltd.,INE011A01019,6152217,,India,611.8199326,103.85,INR,63.558800,
20141217,ACC IN Equity,ACC Ltd.,INE012A01025,6155915,,India,45.64639534,1391.95,INR,63.558800,
20141217,DABUR IN Equity,Dabur India Ltd.,INE016A01026,6297356,,India,284.5387371,223.30,INR,63.558800,
20141217,RECL IN Equity,Rural Electrification Corp. Ltd.,INE020B01018,B2Q7WL3,,India,214.1833811,296.65,INR,63.558800,
20141217,APNT IN Equity,Asian Paints Ltd.,INE021A01026,BCRWL65,,India,83.72866838,758.85,INR,63.558800,
20141217,BPCL IN Equity,Bharat Petroleum Corp. Ltd.,INE029A01011,6099723,,India,98.13499112,647.45,INR,63.558800,
20141217,HUVR IN Equity,Hindustan Unilever Ltd.,INE030A01027,6261674,,India,82.87680167,766.65,INR,63.558800,
20141217,BD IN Equity,Bombay Dyeing & Manufacturing Co. Ltd.,INE032A01023,B842290,,India,987.3737374,64.35,INR,63.558800,
20141217,RELI IN Equity,Reliance Infrastructure Ltd.,INE036A01016,6099853,,India,127.8935185,496.80,INR,63.558800,
20141217,HDFCB IN Equity,HDFC Bank Ltd.,INE040A01026,B5Q3JZ5,,India,68.63354037,925.75,INR,63.558800,
20141217,SUEL IN Equity,Suzlon Energy Ltd.,INE040H01021,B0DX8R8,,India,4925.387597,12.90,INR,63.558800,
20141217,ESC IN Equity,Escorts Ltd.,INE042A01014,6099875,,India,540.2848639,117.60,INR,63.558800,
20141217,SUNP IN Equity,Sun Pharmaceutical Industries Ltd.,INE044A01036,6582483,,India,76.53737276,830.15,INR,63.558800,
20141217,VKI IN Equity,Vakrangee Ltd.,INE051B01021,B7T1QT3,,India,455.6292578,139.45,INR,63.558800,
20141217,IH IN Equity,Indian Hotels Co. Ltd.,INE053A01029,B1FRT61,,India,562.2787611,113.00,INR,63.558800,
20141217,VIP IN Equity,V.I.P. Industries Ltd.,INE054A01027,B7648C2,,India,581.0470965,109.35,INR,63.558800,
20141217,CIPLA IN Equity,Cipla Ltd.,INE059A01026,B011108,,India,101.9209175,623.40,INR,63.558800,
20141217,NELI IN Equity,Navneet Education Ltd.,INE060A01024,B1FGWY7,,India,641.4689551,99.05,INR,63.558800,
20141217,SBIN IN Equity,State Bank of India,INE062A01020,BSQCB24,,India,214.9441813,295.60,INR,63.558800,
20141217,EIM IN Equity,Eicher Motors Ltd.,INE066A01013,6099819,,India,4.517788515,14063.85,INR,63.558800,
20141217,ABGS IN Equity,ABG Shipyard Ltd.,INE067H01016,B00CWW1,,India,303.9344654,209.05,INR,63.558800,
20141217,PRJ IN Equity,PRAJ Industries Ltd.,INE074A01025,B0FHS89,,India,1043.308703,60.90,INR,63.558800,
20141217,WPRO IN Equity,Wipro Ltd.,INE075A01022,6206051,,India,118.374476,536.75,INR,63.558800,
20141217,ACEM IN Equity,Ambuja Cements Ltd.,INE079A01024,B09QQ11,,India,290.2581087,218.90,INR,63.558800,
20141217,KSI IN Equity,Kesoram Industries Ltd.,INE087A01019,6100658,,India,650,97.75,INR,63.558800,
20141217,SHRS IN Equity,Shree Renuka Sugars Ltd.,INE087H01022,B0LNXC0,,India,4059.904153,15.65,INR,63.558800,
20141217,ICICIBC IN Equity,ICICI Bank Ltd.,INE090A01021,BSZ2BY7,,India,192.1303296,330.70,INR,63.558800,
20141217,IIB IN Equity,IndusInd Bank Ltd.,INE095A01012,6100454,,India,83.19148936,763.75,INR,63.558800,
20141217,MM IN Equity,Mahindra & Mahindra Ltd.,INE101A01026,6100186,,India,51.76171079,1227.50,INR,63.558800,
20141217,GCPL IN Equity,Godrej Consumer Products Ltd.,INE102D01028,B1BDGY0,,India,74.87332076,848.60,INR,63.558800,
20141217,FTECH IN Equity,Financial Technologies India Ltd.,INE111B01023,6257521,,India,331.0969255,191.90,INR,63.558800,
20141217,LICHF IN Equity,LIC Housing Finance Ltd.,INE115A01026,6101026,,India,160.3874795,396.15,INR,63.558800,
20141217,DELTA IN Equity,Delta Corp. Ltd. (India),INE124G01033,B00HR98,,India,741.8272037,85.65,INR,63.558800,
