Date,2014-12-16,
INDEX VALUE,1000.0000,
EFFECTIVE DATE,TICKER,NAME,ISIN,INDEX SHARES,PRICE,CURRENCY FACTOR,
2014-12-16,WDF IM Equity,World Duty Free SpA,IT0004954662,110.9583333,7.11,.799100,
2014-12-16,GYCEUR EU Equity,Grand City Properties SA,LU0775917882,66.575,12.19,.799100,
2014-12-16,384 HK Equity,China Gas Holdings Ltd.,BMG2109G1033,616.391097,12.58,7.753100,
2014-12-16,861 HK Equity,Digital China Holdings Ltd.,BMG2759B1072,1223.059937,6.34,7.753100,
2014-12-16,296 HK Equity,Emperor Entertainment Hotel Ltd.,BMG313891027,3896.582915,1.99,7.753100,
2014-12-16,535 HK Equity,Gemdale Properties & Investment Corp. Ltd.,BMG3911S1035,18462.38095,0.42,7.753100,
2014-12-16,1076 HK Equity,Imperial Pacific International Holdings Ltd.,BMG4769M1073,5068.104575,1.53,7.753100,
2014-12-16,683 HK Equity,Kerry Properties Ltd.,BMG524401079,276.9357143,28,7.753100,
2014-12-16,342 HK Equity,NewOcean Energy Holdings Ltd.,BMG6469T1009,2819.709091,2.75,7.753100,
2014-12-16,555 HK Equity,REXLot Holdings Ltd.,BMG7541U1071,11929.53846,0.65,7.753100,
2014-12-16,728 HK Equity,China Telecom Corp. Ltd.,CNE1000002V2,1799.118329,4.31,7.753100,
2014-12-16,54 HK Equity,Hopewell Holdings Ltd.,HK0000051067,282.4845173,27.45,7.753100,
2014-12-16,81 HK Equity,China Overseas Grand Oceans Group Ltd.,HK0000065737,2029.895288,3.82,7.753100,
2014-12-16,3360 HK Equity,Far East Horizon Ltd.,HK0000077468,1068.071625,7.26,7.753100,
2014-12-16,291 HK Equity,China Resources Enterprise Ltd.,HK0291001490,497.0641026,15.6,7.753100,
2014-12-16,656 HK Equity,Fosun International Ltd.,HK0656038673,751.375969,10.32,7.753100,
2014-12-16,883 HK Equity,CNOOC Ltd.,HK0883013259,791.244898,9.8,7.753100,
2014-12-16,3377 HK Equity,Sino-Ocean Land Holdings Ltd.,HK3377040226,1850.644391,4.19,7.753100,
2014-12-16,3383 HK Equity,Agile Property Holdings Ltd.,KYG011981035,1782.574713,4.35,7.753100,
2014-12-16,691 HK Equity,China Shanshui Cement Group Ltd.,KYG2116M1015,2371.314985,3.27,7.753100,
2014-12-16,884 HK Equity,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,5002.709677,1.55,7.753100,
2014-12-16,1728 HK Equity,China Zhengtong Auto Services Holdings Ltd.,KYG215A81084,2247.594203,3.45,7.753100,
