ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"NAB AU Equity",AU000000NAB4,AUD,33.61,27.1859581008,1.236300
"KBC BB Equity",BE0003565737,EUR,45.6,54.4282645023,.837800
"ITSA4 BZ Equity",BRITSAACNPR7,BRL,9.2,3.39985218034,2.706000
"CM CN Equity",CA1360691010,CAD,98.38,83.7490423087,1.174700
"BSAC US Equity",US05965X1090,USD,19.39,19.39,1
"CHILE CI Equity",CLP0939W1081,CLP,69.55,0.112722852512,617.000000
"1398 HK Equity",CNE1000003G1,HKD,5.8,0.747846717211,7.755600
"CIB US Equity",US05968L1026,USD,45.7,45.7,1
"BKIR ID Equity",IE0030606259,EUR,0.31,0.370016710432,.837800
"BMPS IM Equity",IT0004984842,EUR,0.48,0.572929100024,.837800
"8303 JP Equity",JP3729000004,JPY,211,1.76450911524,119.580000
"8591 JP Equity",JP3200450009,JPY,1508.5,12.6149857836,119.580000
"8316 JP Equity",JP3890350006,JPY,4309,36.0344539221,119.580000
"DNB NO Equity",NO0010031479,NOK,106.8,14.006557377,7.625000
"BAP US Equity",BMG2519Y1084,USD,155,155,1
"UOB SP Equity",SG1M31001969,SGD,23.96,17.9435332884,1.335300
"OCBC SP Equity",SG1S04926220,SGD,10.35,7.75106717592,1.335300
"105560 KS Equity",KR7105560007,KRW,35400,31.9008011246,1109.690000
"055550 KS Equity",KR7055550008,KRW,44200,39.8309437771,1109.690000
"SAN SM Equity",ES0113900J37,EUR,6.71,8.00907137742,.837800
"SEBA SS Equity",SE0000148884,SEK,98.15,12.3918944511,7.920500
"2881 TT Equity",TW0002881000,TWD,50.4,1.5761821366,31.976000
"STAN LN Equity",GB0004082847,GBp,947.2,14.4478340451,.655600
"CBA AU Equity",AU000000CBA7,AUD,85.95,69.5219606892,1.236300
"BP IM Equity",IT0005002883,EUR,9.86,11.7689185963,.837800
"ISP IM Equity",IT0000072618,EUR,2.31,2.75722129386,.837800
"SAB SM Equity",ES0113860A34,EUR,2.2,2.62592504178,.837800
"SWEDA SS Equity",SE0000242455,SEK,193.3,24.4050249353,7.920500
"PFG LN Equity",GB00B1Z4ST84,GBp,2481,37.8431970714,.655600
"AMP AU Equity",AU000000AMP6,AUD,5.57,4.50537895333,1.236300
"POW CN Equity",CA7392391016,CAD,31.12,26.4918702647,1.174700
"MFC CN Equity",CA56501R1064,CAD,21.65,18.4302375074,1.174700
"2628 HK Equity",CNE1000002L3,HKD,30.6,3.94553612873,7.755600
"8750 JP Equity",JP3476480003,JPY,1804,15.0861348052,119.580000
"AGN NA Equity",NL0000303709,EUR,6.04,7.20935784197,.837800
"SLHN VX Equity",CH0014852781,CHF,233.3,231.72427493,1.006800
"2882 TT Equity",TW0002882008,TWD,46.4,1.45108831624,31.976000
"OML LN Equity",GB00B77J0862,GBp,183.9,2.80506406345,.655600
"SL/ LN Equity",GB00B16KPT44,GBp,387.4,5.90909090909,.655600
"ANZ AU Equity",AU000000ANZ3,AUD,32.17,26.0211922672,1.236300
"WBC AU Equity",AU000000WBC1,AUD,33.16,26.8219687778,1.236300
"EBS AV Equity",AT0000652011,EUR,19.25,22.9768441155,.837800
"BBAS3 BZ Equity",BRBBASACNOR3,BRL,22.18,8.19660014782,2.706000
"BBD US Equity",US0594603039,USD,12.65,12.65,1
"ITUB US Equity",US4655621062,USD,12.42,12.42,1
"BNS CN Equity",CA0641491075,CAD,64.29,54.7288669448,1.174700
"UBI IM Equity",IT0003487029,EUR,5.73,6.83934113153,.837800
"ELEKTRA* MM Equity",MX01EL000003,MXN,499.56,33.4444667604,14.937000
"CABK SM Equity",ES0140609019,EUR,4.27,5.09668178563,.837800
"SHBA SS Equity",SE0000193120,SEK,363.6,45.9061927909,7.920500
"NDA SS Equity",SE0000427361,SEK,89.3,11.2745407487,7.920500
"2891 TT Equity",TW0002891009,TWD,20.35,0.636414811108,31.976000
"AGS BB Equity",BE0974264930,EUR,29,34.6144664598,.837800
"SLF CN Equity",CA8667961053,CAD,41.31,35.1664254703,1.174700
"2318 HK Equity",CNE1000003X6,HKD,82.25,10.6052400846,7.755600
"CS FP Equity",FR0000120628,EUR,18.39,21.9503461447,.837800
"1299 HK Equity",HK0000069689,HKD,43.15,5.56372169787,7.755600
"G IM Equity",IT0000062072,EUR,16.43,19.6108856529,.837800
"INGA NA Equity",NL0000303600,EUR,10.35,12.3537837193,.837800
"BALN VX Equity",CH0012410517,CHF,126.4,125.54628526,1.006800
"ACA FP Equity",FR0000045072,EUR,10.4,12.4134638339,.837800
"GLE FP Equity",FR0000130809,EUR,33.78,40.3198854142,.837800
"BNP FP Equity",FR0000131104,EUR,47.03,56.1351157794,.837800
"CBK GR Equity",DE000CBK1001,EUR,10.87,12.974456911,.837800
"11 HK Equity",HK0011000095,HKD,127.9,16.4913095054,7.755600
"2388 HK Equity",HK2388011192,HKD,25.75,3.32018154624,7.755600
"MB IM Equity",IT0000062957,EUR,6.57,7.84196705658,.837800
"UCG IM Equity",IT0004781412,EUR,5.08,6.06349964192,.837800
"8308 JP Equity",JP3500610005,JPY,623.7,5.215755143,119.580000
"SID US Equity",US20440W1053,USD,1.85,1.85,1
"5411 JP Equity",JP3386030005,JPY,2687,22.4703127613,119.580000
"5401 JP Equity",JP3381000003,JPY,296.2,2.47700284328,119.580000
"005490 KS Equity",KR7005490008,KRW,279000,251.421568186,1109.690000
"SSABA SS Equity",SE0000171100,SEK,44.3,5.59308124487,7.920500
"IPL AU Equity",AU000000IPL1,AUD,3.26,2.6369004287,1.236300
"ORI AU Equity",AU000000ORI1,AUD,19.23,15.5544770687,1.236300
"SOLB BB Equity",BE0003470755,EUR,106.75,127.417044641,.837800
"POT CN Equity",CA73755L1076,CAD,41.2,35.0727845407,1.174700
"SQM US Equity",US8336351056,USD,23.87,23.87,1
"AKE FP Equity",FR0010313833,EUR,51.58,61.5660062067,.837800
"LXS GR Equity",DE0005470405,EUR,35.45,42.3132012413,.837800
"SDF GR Equity",DE000KSAG888,EUR,22.36,26.6889472428,.837800
"BAS GR Equity",DE000BASF111,EUR,67.17,80.1742659346,.837800
"4183 JP Equity",JP3888300005,JPY,338,2.82655962536,119.580000
"4185 JP Equity",JP3385980002,JPY,2073,17.335674862,119.580000
"3405 JP Equity",JP3269600007,JPY,1375,11.4985783576,119.580000
"4005 JP Equity",JP3401400001,JPY,479,4.00568656966,119.580000
